time,gFx,gFy,gFz,TgF
4.475284,1.0167,0.1752,0.4172,1.11
4.502773,0.8711,0.1508,0.3482,0.95
4.518574,0.8030,0.1349,0.3403,0.88
4.535708,0.7336,0.1042,0.3669,0.83
4.557296,0.7129,0.0780,0.3794,0.81
4.585234,0.7292,0.0541,0.4067,0.84
4.602537,0.7397,0.0369,0.4351,0.86
4.619277,0.7297,0.0431,0.4705,0.87
4.635523,0.7165,0.0548,0.4906,0.87
4.657675,0.7085,0.0678,0.4407,0.84
4.673771,0.6975,0.0973,0.4256,0.82
4.701688,0.6486,0.1479,0.4019,0.78
4.718211,0.6097,0.1530,0.3780,0.73
4.736649,0.5809,0.1584,0.3135,0.68
4.774026,0.6225,0.1643,0.1915,0.67
4.774823,0.6225,0.1643,0.1915,0.67
4.801597,0.7226,0.1433,0.2182,0.77
4.819081,0.8322,0.1340,0.2115,0.87
4.835066,0.7973,0.1098,0.3128,0.86
4.858057,0.7280,0.0611,0.3379,0.80
4.884503,0.8245,0.0590,0.2045,0.85
4.902260,0.8448,0.0259,0.3240,0.91
4.919134,0.9037,0.0814,0.5372,1.05
4.935459,0.9591,0.2744,0.7515,1.25
4.973839,1.1428,0.5495,0.6641,1.43
4.984790,1.1762,0.5155,0.6689,1.45
5.001433,1.2916,0.5947,0.6613,1.57
5.018157,1.3395,0.5866,0.6620,1.61
5.056004,1.3087,0.3492,0.7980,1.57
5.070528,1.2281,0.2786,0.7759,1.48
5.084143,1.1687,0.2446,0.7053,1.39
5.100890,1.0988,0.2461,0.5830,1.27
5.118304,1.0216,0.2920,0.4828,1.17
5.151259,0.8623,0.3211,0.3608,0.99
5.175908,0.7786,0.3115,0.3613,0.91
5.193329,0.7236,0.2632,0.3564,0.85
5.204277,0.7073,0.2517,0.3687,0.84
5.218794,0.6977,0.2488,0.3587,0.82
5.250940,0.6879,0.2341,0.3271,0.80
5.273855,0.6964,0.2172,0.2970,0.79
5.286715,0.6923,0.2192,0.2944,0.78
5.300911,0.6874,0.2216,0.2974,0.78
5.335715,0.6901,0.2001,0.2830,0.77
5.352715,0.6630,0.1833,0.3042,0.75
5.373113,0.6197,0.1733,0.2709,0.70
5.387032,0.6165,0.1784,0.2467,0.69
5.400771,0.6156,0.1938,0.2374,0.69
5.434319,0.5760,0.1664,0.2338,0.64
5.450772,0.5862,0.1396,0.2265,0.64
5.471159,0.6552,0.1288,0.2294,0.71
5.484607,0.7109,0.1454,0.2189,0.76
5.516714,0.8371,0.2358,0.2700,0.91
5.533896,0.8932,0.2632,0.2814,0.97
5.551224,0.9473,0.3071,0.3137,1.04
5.574154,1.0076,0.4083,0.3724,1.15
5.588604,0.9647,0.4425,0.4605,1.16
5.616421,0.9623,0.3367,0.6757,1.22
5.633737,1.0653,0.3299,0.9520,1.47
5.650638,1.2056,0.2966,0.9738,1.58
5.675896,1.4343,0.1650,0.9440,1.72
5.692444,1.4597,0.0650,0.8734,1.70
5.717120,1.2056,0.0792,0.7730,1.43
5.733762,1.1077,0.2490,0.5612,1.27
5.750644,1.0392,0.3387,0.4324,1.18
5.772896,1.0316,0.3223,0.3753,1.14
5.788517,1.0524,0.2475,0.3825,1.15
5.816254,0.9962,0.0924,0.4461,1.10
5.833307,0.9149,0.0572,0.4666,1.03
5.856614,0.8335,0.1019,0.4542,0.95
5.870893,0.7973,0.1191,0.4552,0.93
5.902135,0.7353,0.1256,0.4466,0.87
5.916679,0.7204,0.1161,0.4628,0.86
5.933108,0.7363,0.1142,0.4735,0.88
5.954515,0.7346,0.1176,0.4715,0.88
5.971117,0.7229,0.1039,0.4779,0.87
6.001485,0.7199,0.0853,0.4288,0.84
6.015595,0.7246,0.0797,0.4251,0.84
6.032279,0.7246,0.0804,0.4109,0.84
6.054116,0.6828,0.0993,0.4119,0.80
6.074542,0.5865,0.1315,0.4556,0.75
6.104796,0.5716,0.1687,0.3345,0.68
6.116373,0.5582,0.1715,0.2658,0.64
6.133099,0.5685,0.1517,0.2369,0.63
6.156376,0.6728,0.1203,0.1889,0.71
6.173806,0.7928,0.1102,0.1605,0.82
